name,bazel,height,parents,missing bin,missing lib,missing bench,forced
ic-nns-integration-tests,no,0,0,,,,no
ic-p8s-service-discovery,no,0,0,,,,no
ic-sns-integration-tests,no,0,0,,,,no
tests,no,0,0,,,,no
universal_canister,no,0,0,,,,no
ic-types,yes,,116,,,,no
ic-protobuf,yes,,74,,,,no
ic-base-types,yes,,66,,,,no
ic-interfaces,yes,,62,,,,no
ic-config,yes,,49,,,,no
ic-logger,yes,,48,,,,no
ic-crypto-sha,yes,,46,,,,no
ic-metrics,yes,,44,,,,no
ic-ic00-types,yes,,42,,,,no
ic-utils,yes,,37,,,,no
ic-registry-subnet-type,yes,,34,,,,no
dfn_core,yes,,33,,,,no
ic-registry-keys,yes,,32,,,,no
ic-nns-constants,yes,,30,,,,no
ic-registry-client-helpers,yes,,28,,,,no
dfn_candid,yes,,27,,,,no
ic-crypto-internal-types,yes,,27,,,,no
ic-replicated-state,yes,,27,,,,no
on_wire,yes,,23,,,,no
ic-crypto,yes,,21,,,,no
ic-crypto-tree-hash,yes,,21,,,,no
ic-ledger-core,yes,,20,,,,no
ic-registry-routing-table,yes,,19,,,,no
ic-registry-transport,yes,,19,,,,no
ic-constants,yes,,18,,,,no
ic-error-types,yes,,17,,,,no
ic-interfaces-state-manager,yes,,17,,,,no
ic-registry-provisional-whitelist,yes,,17,,,,no
ic-sys,yes,,17,,,,no
ledger-canister,yes,,17,,,,no
ic-registry-proto-data-provider,yes,,16,,,,no
ic-utils-rustfmt,yes,,16,,,,no
ic-canister-client,yes,,15,,,,no
ic-crypto-tls-interfaces,yes,,15,,,,no
ic-registry-client,yes,,15,,,,no
phantom_newtype,yes,,15,,,,no
ic-nervous-system-common,yes,,14,,,,no
ic-registry-subnet-features,yes,,14,,,,no
dfn_protobuf,yes,,13,,,,no
ic-cycles-account-manager,yes,,13,,,,no
ic-nns-common,yes,,13,,,,no
ic-icrc1,yes,,11,,,,no
ic-nns-governance,yes,,11,,,,no
ic-registry-client-fake,yes,,11,,,,no
ic-registry-local-store,yes,,11,,,,no
ic-registry-nns-data-provider,yes,,11,,,,no
ic-async-utils,yes,,10,,,,no
ic-state-manager,yes,,9,,,,no
ic-wasm-types,yes,,9,,,,no
dfn_json,yes,,8,,,,no
ic-consensus-message,yes,,8,,,,no
ic-crypto-internal-basic-sig-der-utils,yes,,8,,,,no
ic-crypto-utils-threshold-sig,yes,,8,,,,no
ic-nervous-system-common-build-metadata,yes,,8,,,,no
ic-nervous-system-root,yes,,8,,,,no
ic-test-utilities,yes,,8,,,,no
registry-canister,yes,,8,,,,no
canister-test,yes,,7,,,,no
ic-btc-types-internal,yes,,7,,,,no
ic-canister-client-sender,yes,,7,,,,no
ic-crypto-hash,yes,,7,,,,no
ic-crypto-internal-threshold-sig-bls12381,yes,,7,,,,no
ic-crypto-utils-basic-sig,yes,,7,,,,no
ic-execution-environment,yes,,7,,,,no
ic-ledger-canister-core,yes,,7,,,,no
ic-metrics-encoder,yes,,7,,,,no
cycles-minting-canister,yes,,6,,,,no
dfn_http_metrics,yes,,6,,,,no
dfn_macro,yes,,6,,,,no
ic-btc-types,yes,,6,,,,no
ic-consensus,yes,,6,,,,no
ic-crypto-internal-basic-sig-ed25519,yes,,6,,,,no
ic-crypto-internal-seed,yes,,6,,,,no
ic-crypto-internal-threshold-sig-ecdsa,yes,,6,,,,no
ic-http-utils,yes,,6,,,,no
ic-interfaces-p2p,yes,,6,,,,no
ic-metrics-exporter,yes,,6,,,,no
ic-state-layout,yes,,6,,,,no
ic-system-api,yes,,6,,,,no
ic-prep,yes,,6,,,,yes
ic-artifact-pool,yes,,5,,,,no
ic-embedders,yes,,5,,,,no
ic-interfaces-transport,yes,,5,,,,no
ic-messaging,yes,,5,,,,no
ic-nervous-system-common-test-keys,yes,,5,,,,no
ic-nns-init,yes,,5,,,,no
ic-registry-common-proto,yes,,5,,,,no
ic-sns-governance,yes,,5,,,,no
ic-sns-init,yes,,5,,,,no
ic-test-identity,yes,,5,,,,no
tree-deserializer,yes,,5,,,,no
ic-canister-sandbox-backend-lib,yes,,4,,,,no
ic-certification,yes,,4,,,,no
ic-crypto-secrets-containers,yes,,4,,,,no
ic-interfaces-bitcoin-adapter-client,yes,,4,,,,no
ic-nns-handler-root,yes,,4,,,,no
ic-nns-test-utils,yes,,4,,,,no
ic-sns-root,yes,,4,,,,no
ic-sns-swap,yes,,4,,,,no
ic-test-utilities-registry,yes,,4,,,,no
ic-types-test-utils,yes,,4,,,,no
ic-adapter-metrics,yes,,3,,,,no
ic-canister-sandbox-common,yes,,3,,,,no
ic-certification-version,yes,,3,,,,no
ic-crypto-internal-bls12-381-type,yes,,3,,,,no
ic-crypto-internal-logmon,yes,,3,,,,no
ic-crypto-internal-multi-sig-bls12381,yes,,3,,,,no
ic-crypto-internal-test-vectors,yes,,3,,,,no
ic-crypto-utils-threshold-sig-der,yes,,3,,,,no
ic-icrc1-client,yes,,3,,,,no
ic-icrc1-ledger,yes,,3,,,,no
ic-interfaces-canister-http-adapter-client,yes,,3,,,,no
ic-p2p,yes,,3,,,,no
ic-replica,yes,,3,,,,no
ic-rosetta-api,yes,,3,,,,no
ic-xnet-uri,yes,,3,,,,no
lifeline,yes,,3,,,,no
memory_tracker,yes,,3,,,,no
dfn_http,yes,,2,,,,no
elastic_common_schema,yes,,2,,,,no
ic-adapter-metrics-server,yes,,2,,,,no
ic-adapter-metrics-service,yes,,2,,,,no
ic-artifact-manager,yes,,2,,,,no
ic-btc-service,yes,,2,,,,no
ic-canister-http-adapter-client,yes,,2,,,,no
