name,bazel,height,parents
ic-protobuf,no,0,65
ic-metrics,no,0,36
ic-utils,no,0,26
ic-error-types,no,0,16
ic-sys,no,0,15
ic-constants,no,0,9
ic-crypto-secrets-containers,no,0,4
ic-registry-common-proto,no,0,4
ic-crypto-internal-test-vectors,no,0,3
ic-metrics-encoder,no,0,3
ic-crypto-internal-threshold-sig-bls12381-der,no,0,2
ic-canister-http-service,no,0,2
ic-btc-service,no,0,2
ic-certification-version,no,0,2
ic-nns-gtc-accounts,no,0,2
ic-test-utilities-compare-dirs,no,0,1
ic-crypto-internal-hmac,no,0,1
ic-crypto-internal-csp-protobuf-generator,no,0,1
ic-base-types-protobuf-generator,no,0,1
ic-sns-governance-protobuf-generator,no,0,1
ic-sns-root-protobuf-generator,no,0,1
ic-universal-canister,no,0,1
ic-btc-test-utils,no,0,1
ic-btc-validation,no,0,1
ic-registry-transport-protobuf-generator,no,0,1
ic-registry-common-proto-generator,no,0,1
ic-admin-derive,no,0,1
ic-p8s-service-discovery-log,no,0,1
ic-pprof,no,0,1
ic-nns-test-utils-macros,no,0,1
ic-nns-common-protobuf-generator,no,0,1
ic-nns-governance-protobuf-generator,no,0,1
ic-nns-gtc-protobuf-generator,no,0,1
ic-nns-handler-root-protobuf-generator,no,0,1
ic-protobuf-generator,no,0,1
ic-base-types,no,1,47
ic-registry-subnet-type,no,1,32
ic-crypto-internal-types,no,1,27
ic-registry-transport,no,1,14
ic-wasm-types,no,1,8
ic-btc-types-internal,no,1,7
ic-crypto-utils-threshold-sig-der,no,1,3
ic-crypto-internal-logmon,no,1,2
ic-ic00-types,no,2,27
ic-registry-routing-table,no,2,17
ic-nns-constants,no,2,17
ic-crypto-tree-hash,no,2,16
ic-registry-provisional-whitelist,no,2,16
ic-interfaces-transport,no,2,5
ic-crypto-internal-bls12381-serde-miracl,no,2,4
ic-interfaces-bitcoin-adapter-client,no,2,4
ic-ckbtc-minter,no,2,1
ic-types,no,3,97
ic-nervous-system-common,no,3,12
ic-registry-subnet-features,no,3,10
ic-crypto-internal-bls12381-common,no,3,4
ic-sns-integration-tests,no,3,1
ic-interfaces,no,4,57
ic-config,no,4,43
ic-registry-keys,no,4,29
ic-interfaces-state-manager,no,4,16
ic-crypto-tls-interfaces,no,4,14
ic-crypto-internal-basic-sig-der-utils,no,4,8
ic-interfaces-p2p,no,4,6
ic-nervous-system-root,no,4,5
ic-crypto-internal-threshold-sig-ecdsa,no,4,4
ic-crypto-internal-fs-ni-dkg,no,4,4
ic-crypto-internal-multi-sig-bls12381,no,4,3
ic-xnet-uri,no,4,3
ic-types-test-utils,no,4,2
ic-nervous-system-common-test-keys,no,4,2
ic-nervous-system-common-test-canister,no,4,1
ic-interfaces-canister-http-adapter-client,no,4,1
ic-logger,no,5,41
ic-registry-client-helpers,no,5,22
ic-registry-proto-data-provider,no,5,16
ic-canister-client,no,5,14
ic-registry-client-fake,no,5,11
ic-nns-common,no,5,10
ic-crypto-hash,no,5,6
ic-crypto-internal-basic-sig-ed25519,no,5,6
ic-crypto-internal-threshold-sig-bls12381,no,5,6
ic-metrics-exporter,no,5,5
ic-crypto-internal-basic-sig-ecdsa-secp256r1,no,5,3
ic-crypto-internal-basic-sig-ecdsa-secp256k1,no,5,2
ic-crypto-internal-basic-sig-rsa-pkcs1,no,5,2
ic-sns-governance,no,5,2
ic-sns-root,no,5,2
ic-xnet-hyper,no,5,2
ic-canister-http-adapter-client,no,5,1
ic-replicated-state,no,6,26
ic-nns-governance,no,6,10
ic-consensus-message,no,6,7
ic-crypto-utils-threshold-sig,no,6,7
ic-crypto-utils-basic-sig,no,6,5
ic-ecdsa-object,no,6,2
ic-crypto-internal-tls,no,6,2
ic-crypto-tls-cert-validation,no,6,2
ic-transport,no,6,2
ic-http-utils,no,6,2
ic-crypto-internal-basic-sig-ecdsa-wycheproof,no,6,1
ic-crypto-internal-basic-sig-cose,no,6,1
ic-canister-http-adapter,no,6,1
ic-sns-test-utils,no,6,1
ic-xnet-endpoint,no,6,1
ic-certified-vars-test-utils,no,6,1
ic-btc-adapter,no,6,1
ic-btc-adapter-client,no,6,1
ic-prober,no,6,1
ic-cycles-account-manager,no,7,13
ic-state-layout,no,7,6
ic-test-identity,no,7,4
ic-nns-handler-root,no,7,3
ic-certified-vars,no,7,2
ic-canonical-state,no,7,2
ic-nns-gtc,no,7,2
ic-artifact-manager,no,7,2
ic-crypto-node-key-validation,no,7,1
ic-crypto-tls,no,7,1
ic-sns-cli,no,7,1
ic-identity,no,7,1
ic-btc-consensus,no,7,1
ic-nns-integration-tests,no,7,1
ic-registry-common,no,8,14
ic-state-manager,no,8,9
ic-system-api,no,8,6
ic-messaging,no,8,5
ic-p2p,no,8,3
ic-crypto-internal-basic-sig-iccsa,no,8,2
ic-xnet-payload-builder,no,8,1
ic-btc-canister,no,8,1
ic-nns-inspector,no,8,1
ic-workload-generator,no,8,1
ic-registry-client,no,9,12
ic-embedders,no,9,4
ic-canister-sandbox-common,no,9,3
ic-crypto-internal-csp,no,9,2
ic-state-tool,no,9,1
ic-cup-explorer,no,9,1
ic-crypto,no,10,19
ic-canister-sandbox-backend-lib,no,10,3
ic-canister-sandbox-launcher,no,10,2
ic-crypto-internal-csp-test-utils,no,10,1
ic-regedit,no,10,1
ic-p8s-service-discovery,no,10,1
ic-registry-replicator,no,10,1
ic-prep,no,11,5
ic-test-utilities-registry,no,11,4
ic-artifact-pool,no,11,4
ic-crypto-test-utils-canister-threshold-sigs,no,11,2
ic-validator,no,11,2
ic-rosetta-api,no,11,1
ic-crypto-test-utils,no,11,1
ic-crypto-test-utils-threshold-sigs,no,11,1
ic-crypto-test-utils-multi-sigs,no,11,1
ic-transport-test-client,no,11,1
ic-canister-sandbox-replica-controller,no,11,1
ic-execution-environment,no,12,7
ic-consensus,no,12,6
ic-http-handler,no,12,2
ic-rosetta-test-utils,no,12,1
ic-ingress-manager,no,12,1
ic-starter,no,12,1
ic-replica-setup-ic-network,no,13,2
ic-state-machine-tests,no,13,1
ic-test-utilities,no,14,6
ic-replica,no,14,3
ic-nns-test-utils,no,15,3
ic-test-artifact-pool,no,15,1
ic-replica-tests,no,15,1
ic-drun,no,15,1
ic-determinism-test,no,15,1
ic-nns-init,no,16,3
ic-scenario-tests,no,16,1
ic-fondue,no,17,1
ic-admin,no,17,1
ic-replay,no,17,1
ic-recovery,no,18,1
none,no,19,0
ic-crypto-sha,yes,,38
ic-async-utils,yes,,5
ic-crypto-internal-sha2,yes,,2
ic-btc-types,yes,,1
ic-context-logger,yes,,1
